policy,workflow,failure_mode,run,injection_stage,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,scenario_id,annotator
llm_noupstream,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,5527.7,True,5527.7,arith_chain_ambiguous_delegation_llm_noupstream_r1,yc-real
llm_noupstream,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1411.0,False,0.0,arith_chain_ambiguous_delegation_llm_noupstream_r2,yc-real
oracle,arith_chain,ambiguous_delegation,0,1,True,True,0,1.0,1484.4,False,0.0,arith_chain_ambiguous_delegation_oracle_r0,yc-real
oracle,arith_chain,ambiguous_delegation,1,1,True,True,0,1.0,1590.6,False,0.0,arith_chain_ambiguous_delegation_oracle_r1,yc-real
oracle,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1638.1,False,0.0,arith_chain_ambiguous_delegation_oracle_r2,yc-real
fixed,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1229.9,False,0.0,arith_chain_tool_invocation_error_fixed_r0,yc-real
fixed,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1079.0,False,0.0,arith_chain_tool_invocation_error_fixed_r1,yc-real
fixed,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1231.0,False,0.0,arith_chain_tool_invocation_error_fixed_r2,yc-real
heuristic,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1052.5,False,0.0,arith_chain_tool_invocation_error_heuristic_r0,yc-real
heuristic,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1156.6,False,0.0,arith_chain_tool_invocation_error_heuristic_r1,yc-real
heuristic,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1127.4,False,0.0,arith_chain_tool_invocation_error_heuristic_r2,yc-real
retry(heuristic),arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1350.6,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1330.9,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1127.3,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r2,yc-real
llm,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1327.9,False,0.0,arith_chain_tool_invocation_error_llm_r0,yc-real
llm,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1336.8,False,0.0,arith_chain_tool_invocation_error_llm_r1,yc-real
llm,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1115.8,False,0.0,arith_chain_tool_invocation_error_llm_r2,yc-real
llm_noupstream,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1126.7,False,0.0,arith_chain_tool_invocation_error_llm_noupstream_r0,yc-real
llm_noupstream,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1064.7,False,0.0,arith_chain_tool_invocation_error_llm_noupstream_r1,yc-real
llm_noupstream,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1144.7,False,0.0,arith_chain_tool_invocation_error_llm_noupstream_r2,yc-real
oracle,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1257.8,False,0.0,arith_chain_tool_invocation_error_oracle_r0,yc-real
oracle,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1127.9,False,0.0,arith_chain_tool_invocation_error_oracle_r1,yc-real
oracle,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1167.0,False,0.0,arith_chain_tool_invocation_error_oracle_r2,yc-real
fixed,arith_chain,context_pollution,0,1,False,False,2,0.0,3483.9,True,3483.9,arith_chain_context_pollution_fixed_r0,yc-real
fixed,arith_chain,context_pollution,1,1,False,False,2,0.0,3149.2,True,3149.2,arith_chain_context_pollution_fixed_r1,yc-real
fixed,arith_chain,context_pollution,2,1,False,False,2,0.0,3018.8,True,3018.8,arith_chain_context_pollution_fixed_r2,yc-real
heuristic,arith_chain,context_pollution,0,1,False,False,2,0.0,3133.3,True,3133.3,arith_chain_context_pollution_heuristic_r0,yc-real
heuristic,arith_chain,context_pollution,1,1,False,False,2,0.0,3097.2,True,3097.2,arith_chain_context_pollution_heuristic_r1,yc-real
heuristic,arith_chain,context_pollution,2,1,False,False,2,0.0,3143.2,True,3143.2,arith_chain_context_pollution_heuristic_r2,yc-real
retry(heuristic),arith_chain,context_pollution,0,1,False,False,2,0.0,4404.4,True,4404.4,arith_chain_context_pollution_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,context_pollution,1,1,False,False,2,0.0,4400.6,True,4400.6,arith_chain_context_pollution_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,context_pollution,2,1,False,False,2,0.0,4215.2,True,4215.2,arith_chain_context_pollution_retry(heuristic)_r2,yc-real
llm,arith_chain,context_pollution,0,1,True,True,0,1.0,3219.9,False,0.0,arith_chain_context_pollution_llm_r0,yc-real
llm,arith_chain,context_pollution,1,1,False,False,2,0.0,6045.9,True,6045.9,arith_chain_context_pollution_llm_r1,yc-real
llm,arith_chain,context_pollution,2,1,True,True,0,1.0,3065.2,False,0.0,arith_chain_context_pollution_llm_r2,yc-real
llm_noupstream,arith_chain,context_pollution,0,1,False,False,2,0.0,4419.9,True,4419.9,arith_chain_context_pollution_llm_noupstream_r0,yc-real
llm_noupstream,arith_chain,context_pollution,1,1,False,False,2,0.0,4359.7,True,4359.7,arith_chain_context_pollution_llm_noupstream_r1,yc-real
llm_noupstream,arith_chain,context_pollution,2,1,False,False,2,0.0,4328.3,True,4328.3,arith_chain_context_pollution_llm_noupstream_r2,yc-real
oracle,arith_chain,context_pollution,0,1,True,True,0,1.0,1160.3,False,0.0,arith_chain_context_pollution_oracle_r0,yc-real
oracle,arith_chain,context_pollution,1,1,True,True,0,1.0,1159.2,False,0.0,arith_chain_context_pollution_oracle_r1,yc-real
oracle,arith_chain,context_pollution,2,1,True,True,0,1.0,1043.8,False,0.0,arith_chain_context_pollution_oracle_r2,yc-real
fixed,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,4814.1,True,4814.1,arith_chain_conflicting_outputs_fixed_r0,yc-real
fixed,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,5123.5,True,5123.5,arith_chain_conflicting_outputs_fixed_r1,yc-real
fixed,arith_chain,conflicting_outputs,2,1,False,False,2,0.0,4217.5,True,4217.5,arith_chain_conflicting_outputs_fixed_r2,yc-real
heuristic,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,5152.5,True,5152.5,arith_chain_conflicting_outputs_heuristic_r0,yc-real
heuristic,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,4722.2,True,4722.2,arith_chain_conflicting_outputs_heuristic_r1,yc-real
heuristic,arith_chain,conflicting_outputs,2,1,False,False,2,0.0,4400.3,True,4400.3,arith_chain_conflicting_outputs_heuristic_r2,yc-real
retry(heuristic),arith_chain,conflicting_outputs,0,1,False,False,2,0.0,7171.1,True,7171.1,arith_chain_conflicting_outputs_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,conflicting_outputs,1,1,False,False,2,0.0,6047.6,True,6047.6,arith_chain_conflicting_outputs_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,conflicting_outputs,2,1,False,False,2,0.0,6739.3,True,6739.3,arith_chain_conflicting_outputs_retry(heuristic)_r2,yc-real
llm,arith_chain,conflicting_outputs,0,1,True,True,0,1.0,5115.2,False,0.0,arith_chain_conflicting_outputs_llm_r0,yc-real
llm,arith_chain,conflicting_outputs,1,1,True,True,0,1.0,3121.7,False,0.0,arith_chain_conflicting_outputs_llm_r1,yc-real
llm,arith_chain,conflicting_outputs,2,1,True,True,0,1.0,3920.2,False,0.0,arith_chain_conflicting_outputs_llm_r2,yc-real
llm_noupstream,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,7550.4,True,7550.4,arith_chain_conflicting_outputs_llm_noupstream_r0,yc-real
llm_noupstream,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,8443.4,True,8443.4,arith_chain_conflicting_outputs_llm_noupstream_r1,yc-real
llm_noupstream,arith_chain,conflicting_outputs,2,1,False,False,2,0.0,7885.4,True,7885.4,arith_chain_conflicting_outputs_llm_noupstream_r2,yc-real
oracle,arith_chain,conflicting_outputs,0,1,True,True,0,1.0,2315.6,False,0.0,arith_chain_conflicting_outputs_oracle_r0,yc-real
oracle,arith_chain,conflicting_outputs,1,1,True,True,0,1.0,3573.0,False,0.0,arith_chain_conflicting_outputs_oracle_r1,yc-real
oracle,arith_chain,conflicting_outputs,2,1,True,True,0,1.0,2554.2,False,0.0,arith_chain_conflicting_outputs_oracle_r2,yc-real
fixed,arith_chain,premature_action,0,1,False,False,2,0.0,4177.0,True,4177.0,arith_chain_premature_action_fixed_r0,yc-real
fixed,arith_chain,premature_action,1,1,False,False,2,0.0,3784.1,True,3784.1,arith_chain_premature_action_fixed_r1,yc-real
fixed,arith_chain,premature_action,2,1,False,False,2,0.0,4283.9,True,4283.9,arith_chain_premature_action_fixed_r2,yc-real
heuristic,arith_chain,premature_action,0,1,False,False,2,0.0,4039.2,True,4039.2,arith_chain_premature_action_heuristic_r0,yc-real
heuristic,arith_chain,premature_action,1,1,False,False,2,0.0,3617.5,True,3617.5,arith_chain_premature_action_heuristic_r1,yc-real
heuristic,arith_chain,premature_action,2,1,False,False,2,0.0,4551.7,True,4551.7,arith_chain_premature_action_heuristic_r2,yc-real
retry(heuristic),arith_chain,premature_action,0,1,False,False,2,0.0,6694.0,True,6694.0,arith_chain_premature_action_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,premature_action,1,1,False,False,2,0.0,6450.2,True,6450.2,arith_chain_premature_action_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,premature_action,2,1,False,False,2,0.0,5224.6,True,5224.6,arith_chain_premature_action_retry(heuristic)_r2,yc-real
llm,arith_chain,premature_action,0,1,True,True,0,1.0,3917.6,False,0.0,arith_chain_premature_action_llm_r0,yc-real
llm,arith_chain,premature_action,1,1,True,True,0,1.0,3671.0,False,0.0,arith_chain_premature_action_llm_r1,yc-real
llm,arith_chain,premature_action,2,1,True,True,0,1.0,3560.5,False,0.0,arith_chain_premature_action_llm_r2,yc-real
llm_noupstream,arith_chain,premature_action,0,1,False,False,2,0.0,6855.2,True,6855.2,arith_chain_premature_action_llm_noupstream_r0,yc-real
llm_noupstream,arith_chain,premature_action,1,1,False,False,2,0.0,7407.4,True,7407.4,arith_chain_premature_action_llm_noupstream_r1,yc-real
llm_noupstream,arith_chain,premature_action,2,1,False,False,2,0.0,7961.5,True,7961.5,arith_chain_premature_action_llm_noupstream_r2,yc-real
oracle,arith_chain,premature_action,0,1,True,True,0,1.0,2167.6,False,0.0,arith_chain_premature_action_oracle_r0,yc-real
oracle,arith_chain,premature_action,1,1,True,True,0,1.0,1643.7,False,0.0,arith_chain_premature_action_oracle_r1,yc-real
oracle,arith_chain,premature_action,2,1,True,True,0,1.0,2341.6,False,0.0,arith_chain_premature_action_oracle_r2,yc-real
