policy,depth,failure_mode,run,seed,injection_stage,scenario_id,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,annotator,notes
heuristic,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,2559.2,True,2559.2,yc-real,
retry(heuristic),3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,6490.8,True,6490.8,yc-real,
retry(heuristic),3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,3757.8,True,3757.8,yc-real,
fixed,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,3787.3,True,3787.3,yc-real,
fixed,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,3565.6,True,3565.6,yc-real,
heuristic,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,3701.1,True,3701.1,yc-real,
heuristic,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,3687.8,True,3687.8,yc-real,
retry(heuristic),3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,7544.8,True,7544.8,yc-real,
retry(heuristic),3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,4512.9,True,4512.9,yc-real,
fixed,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,3891.4,True,3891.4,yc-real,
fixed,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,3025.6,True,3025.6,yc-real,
heuristic,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,3222.2,True,3222.2,yc-real,
heuristic,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,3356.5,True,3356.5,yc-real,
retry(heuristic),3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,5870.8,True,5870.8,yc-real,
retry(heuristic),3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,7299.8,True,7299.8,yc-real,
fixed,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,False,False,3,0.0,5477.7,True,5477.7,yc-real,
fixed,5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,5549.1,True,5549.1,yc-real,
heuristic,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,False,False,3,0.0,5087.7,True,5087.7,yc-real,
heuristic,5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,5231.3,True,5231.3,yc-real,
retry(heuristic),5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,True,True,0,1.0,3564.9,False,0.0,yc-real,
retry(heuristic),5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,15744.1,True,15744.1,yc-real,
fixed,5,tool_invocation_error,0,0,1,depth5__tool_invocation_error__inj1__run0000,True,True,0,1.0,1478.5,False,0.0,yc-real,
fixed,5,tool_invocation_error,1,1,1,depth5__tool_invocation_error__inj1__run0001,True,True,0,1.0,1334.7,False,0.0,yc-real,
heuristic,5,tool_invocation_error,0,0,1,depth5__tool_invocation_error__inj1__run0000,True,True,0,1.0,1519.6,False,0.0,yc-real,
heuristic,5,tool_invocation_error,1,1,1,depth5__tool_invocation_error__inj1__run0001,True,True,0,1.0,2501.0,False,0.0,yc-real,
retry(heuristic),5,tool_invocation_error,0,0,1,depth5__tool_invocation_error__inj1__run0000,True,True,0,1.0,1221.8,False,0.0,yc-real,
retry(heuristic),5,tool_invocation_error,1,1,1,depth5__tool_invocation_error__inj1__run0001,True,True,0,1.0,1377.9,False,0.0,yc-real,
fixed,5,context_pollution,0,0,1,depth5__context_pollution__inj1__run0000,False,False,3,0.0,4625.2,True,4625.2,yc-real,
fixed,5,context_pollution,1,1,1,depth5__context_pollution__inj1__run0001,False,False,3,0.0,5423.6,True,5423.6,yc-real,
heuristic,5,context_pollution,0,0,1,depth5__context_pollution__inj1__run0000,False,False,3,0.0,5411.6,True,5411.6,yc-real,
heuristic,5,context_pollution,1,1,1,depth5__context_pollution__inj1__run0001,False,False,3,0.0,8422.4,True,8422.4,yc-real,
retry(heuristic),5,context_pollution,0,0,1,depth5__context_pollution__inj1__run0000,False,False,3,0.0,8191.0,True,8191.0,yc-real,
retry(heuristic),5,context_pollution,1,1,1,depth5__context_pollution__inj1__run0001,False,False,3,0.0,9876.6,True,9876.6,yc-real,
fixed,5,conflicting_outputs,0,0,1,depth5__conflicting_outputs__inj1__run0000,False,False,3,0.0,7541.4,True,7541.4,yc-real,
fixed,5,conflicting_outputs,1,1,1,depth5__conflicting_outputs__inj1__run0001,False,False,3,0.0,9698.8,True,9698.8,yc-real,
heuristic,5,conflicting_outputs,0,0,1,depth5__conflicting_outputs__inj1__run0000,False,False,3,0.0,10216.9,True,10216.9,yc-real,
heuristic,5,conflicting_outputs,1,1,1,depth5__conflicting_outputs__inj1__run0001,False,False,3,0.0,4961.7,True,4961.7,yc-real,
retry(heuristic),5,conflicting_outputs,0,0,1,depth5__conflicting_outputs__inj1__run0000,False,False,3,0.0,11545.6,True,11545.6,yc-real,
retry(heuristic),5,conflicting_outputs,1,1,1,depth5__conflicting_outputs__inj1__run0001,False,False,3,0.0,9170.6,True,9170.6,yc-real,
fixed,5,premature_action,0,0,1,depth5__premature_action__inj1__run0000,False,False,3,0.0,5355.6,True,5355.6,yc-real,
fixed,5,premature_action,1,1,1,depth5__premature_action__inj1__run0001,False,False,3,0.0,12497.0,True,12497.0,yc-real,
heuristic,5,premature_action,0,0,1,depth5__premature_action__inj1__run0000,False,False,3,0.0,6169.7,True,6169.7,yc-real,
heuristic,5,premature_action,1,1,1,depth5__premature_action__inj1__run0001,False,False,3,0.0,6168.1,True,6168.1,yc-real,
retry(heuristic),5,premature_action,0,0,1,depth5__premature_action__inj1__run0000,False,False,3,0.0,8363.2,True,8363.2,yc-real,
retry(heuristic),5,premature_action,1,1,1,depth5__premature_action__inj1__run0001,False,False,3,0.0,8287.1,True,8287.1,yc-real,
fixed,7,ambiguous_delegation,0,0,1,depth7__ambiguous_delegation__inj1__run0000,False,False,5,0.0,7753.2,True,7753.2,yc-real,
fixed,7,ambiguous_delegation,1,1,1,depth7__ambiguous_delegation__inj1__run0001,False,False,5,0.0,8335.1,True,8335.1,yc-real,
heuristic,7,ambiguous_delegation,0,0,1,depth7__ambiguous_delegation__inj1__run0000,False,False,5,0.0,7585.0,True,7585.0,yc-real,
heuristic,7,ambiguous_delegation,1,1,1,depth7__ambiguous_delegation__inj1__run0001,False,False,5,0.0,7269.4,True,7269.4,yc-real,
retry(heuristic),7,ambiguous_delegation,0,0,1,depth7__ambiguous_delegation__inj1__run0000,False,False,5,0.0,11727.6,True,11727.6,yc-real,
retry(heuristic),7,ambiguous_delegation,1,1,1,depth7__ambiguous_delegation__inj1__run0001,False,False,5,0.0,9003.3,True,9003.3,yc-real,
fixed,7,tool_invocation_error,0,0,1,depth7__tool_invocation_error__inj1__run0000,True,True,0,1.0,1188.8,False,0.0,yc-real,
fixed,7,tool_invocation_error,1,1,1,depth7__tool_invocation_error__inj1__run0001,True,True,0,1.0,1195.1,False,0.0,yc-real,
heuristic,7,tool_invocation_error,0,0,1,depth7__tool_invocation_error__inj1__run0000,True,True,0,1.0,1632.5,False,0.0,yc-real,
heuristic,7,tool_invocation_error,1,1,1,depth7__tool_invocation_error__inj1__run0001,True,True,0,1.0,1259.0,False,0.0,yc-real,
retry(heuristic),7,tool_invocation_error,0,0,1,depth7__tool_invocation_error__inj1__run0000,True,True,0,1.0,1816.4,False,0.0,yc-real,
retry(heuristic),7,tool_invocation_error,1,1,1,depth7__tool_invocation_error__inj1__run0001,True,True,0,1.0,1202.0,False,0.0,yc-real,
fixed,7,context_pollution,0,0,1,depth7__context_pollution__inj1__run0000,False,False,5,0.0,9698.9,True,9698.9,yc-real,
fixed,7,context_pollution,1,1,1,depth7__context_pollution__inj1__run0001,False,False,5,0.0,7983.4,True,7983.4,yc-real,
heuristic,7,context_pollution,0,0,1,depth7__context_pollution__inj1__run0000,False,False,5,0.0,16079.8,True,16079.8,yc-real,
heuristic,7,context_pollution,1,1,1,depth7__context_pollution__inj1__run0001,False,False,5,0.0,11427.3,True,11427.3,yc-real,
retry(heuristic),7,context_pollution,0,0,1,depth7__context_pollution__inj1__run0000,False,False,5,0.0,14474.7,True,14474.7,yc-real,
retry(heuristic),7,context_pollution,1,1,1,depth7__context_pollution__inj1__run0001,False,False,5,0.0,8437.3,True,8437.3,yc-real,
fixed,7,conflicting_outputs,0,0,1,depth7__conflicting_outputs__inj1__run0000,False,False,5,0.0,16049.0,True,16049.0,yc-real,
fixed,7,conflicting_outputs,1,1,1,depth7__conflicting_outputs__inj1__run0001,False,False,5,0.0,7198.7,True,7198.7,yc-real,
heuristic,7,conflicting_outputs,0,0,1,depth7__conflicting_outputs__inj1__run0000,False,False,5,0.0,9254.2,True,9254.2,yc-real,
heuristic,7,conflicting_outputs,1,1,1,depth7__conflicting_outputs__inj1__run0001,False,False,5,0.0,7555.0,True,7555.0,yc-real,
retry(heuristic),7,conflicting_outputs,0,0,1,depth7__conflicting_outputs__inj1__run0000,False,False,5,0.0,13111.1,True,13111.1,yc-real,
retry(heuristic),7,conflicting_outputs,1,1,1,depth7__conflicting_outputs__inj1__run0001,False,False,5,0.0,9307.5,True,9307.5,yc-real,
fixed,7,premature_action,0,0,1,depth7__premature_action__inj1__run0000,False,False,5,0.0,8907.4,True,8907.4,yc-real,
fixed,7,premature_action,1,1,1,depth7__premature_action__inj1__run0001,False,False,5,0.0,7308.9,True,7308.9,yc-real,
heuristic,7,premature_action,0,0,1,depth7__premature_action__inj1__run0000,False,False,5,0.0,11530.3,True,11530.3,yc-real,
heuristic,7,premature_action,1,1,1,depth7__premature_action__inj1__run0001,False,False,5,0.0,7558.6,True,7558.6,yc-real,
retry(heuristic),7,premature_action,0,0,1,depth7__premature_action__inj1__run0000,False,False,5,0.0,10869.6,True,10869.6,yc-real,
retry(heuristic),7,premature_action,1,1,1,depth7__premature_action__inj1__run0001,False,False,5,0.0,14345.1,True,14345.1,yc-real,
